Restoran_Adi,Yorum,Restoran_Link
Gina Bowl (Fatih Sultan Mehmet),cok begendimm,https://tgoyemek.com/restoranlar/177184
Gina Bowl (Fatih Sultan Mehmet),çok lezzetliydi. özellikle tavuğunu çok beğendim. ikramları için de ayrıca teşekkür ederim 🥹,https://tgoyemek.com/restoranlar/177184
Gina Bowl (Fatih Sultan Mehmet),Yahu bu ne tavuk gramajı o kadar komik ki 40 gr filan var heralde içinde bu parayı neye verdik biz yeşillikle yoğurda mı şaka gibi vallahi,https://tgoyemek.com/restoranlar/177184
Gina Bowl (Fatih Sultan Mehmet),Tat olarak fena değil. Pilav yağlıydı. Çıtır soğan ayrı kapta paketlenmişti ama o kadar bayat geldi yenecek durumda değildi.,https://tgoyemek.com/restoranlar/177184
Gina Bowl (Fatih Sultan Mehmet),Her zaman söylediğim yer ancak gelen yemek 10 günlük gibi hiç taze değil. Köfteler kokuyor hatta çok şaşırdım.,https://tgoyemek.com/restoranlar/177184
Gina Bowl (Fatih Sultan Mehmet),Yediğim en iyi bowldu ve sıcaktıı keşke daha ulaşılabilir fiyatlarda olsa,https://tgoyemek.com/restoranlar/177184
Maydonoz Döner (Ayazağa),çok kuru hamurlasmis,https://tgoyemek.com/restoranlar/337275
Maydonoz Döner (Ayazağa),Ürünüm teslim edilmedi aç kaldım iade istiyorum bir daha sizden ürün almıcam,https://tgoyemek.com/restoranlar/337275
Maydonoz Döner (Ayazağa),Hatalı sipariş vermeme rağmen ilgiyle yardımcı oldular. Lezzeti sosları değişmez zaten aynı güzel.,https://tgoyemek.com/restoranlar/337275
Maydonoz Döner (Ayazağa),aşırı hızlı geldi 10 dkda falan. fiyatı iyi her şey güzel ama yağı çok rahatsız ediyor sosu bir garipti ekşimiş gibi :( Gidip yediğimde bayağı beğenmiştim gece sipariş ettiğim için böyle oldu herhalde bilemiyorum,https://tgoyemek.com/restoranlar/337275
Maydonoz Döner (Ayazağa),ürün teslim süresi 25 dk yaziyordu 2 saatte geldi içecek olarak şalgam suyu söylemiştim içe tea limon geldi,https://tgoyemek.com/restoranlar/337275
Maydonoz Döner (Ayazağa),dehset güzeldi😭😭,https://tgoyemek.com/restoranlar/337275
Maydonoz Döner (Ayazağa),Profiterol tatlı söyledim insan bi plastik kaşık koyar lütfen ya,https://tgoyemek.com/restoranlar/337275
Maydonoz Döner (Ayazağa),"Acıkmadan 1.5 - 2 saat önce sipariş vermenizi tavsiye ederim, çünkü 1.5 - 2 saatte anca getiriyorlar.",https://tgoyemek.com/restoranlar/337275
Maydonoz Döner (Ayazağa),O kadar sosluydu ki yiyemedim. Hani dışarda yediğiniz yemek daha yerken rahatsız eder de dokunacağını bilirsiniz ya öyle baharatlı ve yoğun bir sos koymuşlar.,https://tgoyemek.com/restoranlar/337275
Maydonoz Döner (Ayazağa),Siparişim tam olarak 1 saat 45 dakikada hem yanlış hem de eksik şekilde geldi. Üstelik peynir istememe rağmen peynir konulması nedeniyle gelen ürünü de yiymedim.,https://tgoyemek.com/restoranlar/337275
Maydonoz Döner (Ayazağa),"150 gr almak için fazla ödedim ama küçücük bir miktar vardır, fazla et koymamışlar",https://tgoyemek.com/restoranlar/337275
Maydonoz Döner (Ayazağa),güzel olan her şey kaliteden uzaklaşıyor tavukların tadı gittikçe kötüye gidiyor,https://tgoyemek.com/restoranlar/337275
Maydonoz Döner (Ayazağa),çok tuzluydu,https://tgoyemek.com/restoranlar/337275
Maydonoz Döner (Ayazağa),sogansiz olsun yazmistim sogani doldurmussunuz,https://tgoyemek.com/restoranlar/337275
Maydonoz Döner (Ayazağa),Güzeldiiiiiii,https://tgoyemek.com/restoranlar/337275
Maydonoz Döner (Ayazağa),Notlar dikkate alınıyor Herşey mükemmeldi çok teşekkürler,https://tgoyemek.com/restoranlar/337275
Maydonoz Döner (Ayazağa),Ellerinize sağlık gayet güzeldi,https://tgoyemek.com/restoranlar/337275
Maydonoz Döner (Ayazağa),arkadaş 6 dk da sipariş geldi dedim noluyor dürümde güzel sıcak valla elinize sağlık,https://tgoyemek.com/restoranlar/337275
Maydonoz Döner (Ayazağa),Harikalar iyi,https://tgoyemek.com/restoranlar/337275
Maydonoz Döner (Ayazağa),Hayatım boyunca yemeye çalıştığım en kötü şeydi bu taco sos içinde yüzüyor vıcık vıcık gelmesi 1 saatden uzun sürdü bide,https://tgoyemek.com/restoranlar/337275
Hot Döner (Rumeli Hisarı),150 gram tavuk yoktu sanki,https://tgoyemek.com/restoranlar/22380
Hot Döner (Rumeli Hisarı),Her seferinde içine cheddar ekliyorum fakat ya hiç konmuyor ya da kaşar peyniri koyup gönderiyorlar. Bu sefer tavuğun lezzetini de beğenmedim,https://tgoyemek.com/restoranlar/22380
Hot Döner (Rumeli Hisarı),lavaş ve sos bu sefer iyi değildi usta mı değişti,https://tgoyemek.com/restoranlar/22380
Hot Döner (Rumeli Hisarı),Cok uygun ve guzel,https://tgoyemek.com/restoranlar/22380
Hot Döner (Rumeli Hisarı),çok çok uzun zamandır ilk defa tavuk döner yedim ve çok başarılı buldum. tekrar yerim büyük ihtimalle. tavsiye ederim.,https://tgoyemek.com/restoranlar/22380
Hot Döner (Rumeli Hisarı),Uzun zaman sonra tekrar sipariş verdim. Yine doyurucu ve sıcak geldi. Elinize sağlık.,https://tgoyemek.com/restoranlar/22380
Hot Döner (Rumeli Hisarı),hot donere asigim ki,https://tgoyemek.com/restoranlar/22380
Hot Döner (Rumeli Hisarı),Acayip kötü içinden streç film çıktı çok kötü bir daha asla yemeyeceğim döner çok soguktu,https://tgoyemek.com/restoranlar/22380
Hot Döner (Rumeli Hisarı),"Dönerin turşusu, patatesi eskisine göre daha az gibiydi",https://tgoyemek.com/restoranlar/22380
Hot Döner (Rumeli Hisarı),ürünü sıcak istediğim halde buz gibi geldi lütfen biraz daha dikkatli olun onun dışında lezzeti güzel,https://tgoyemek.com/restoranlar/22380
Hot Döner (Rumeli Hisarı),elinize emeginize sağlık çok teşekkürler,https://tgoyemek.com/restoranlar/22380
Hot Döner (Rumeli Hisarı),Tavuk eti çok tuzluydu ve ekstra dadönerin içinde çok fazla kornişon vardı.Tuzdan dolayı dönerin tadını alamadık,https://tgoyemek.com/restoranlar/22380
Hot Döner (Rumeli Hisarı),mükemmel lezzet teşekkür ederim,https://tgoyemek.com/restoranlar/22380
Hot Döner (Rumeli Hisarı),ilgi alakaniz icin teşekkür ederim lezzet harika elinize emeginize saglik,https://tgoyemek.com/restoranlar/22380
Hot Döner (Rumeli Hisarı),lezzet muazzamdı elimize sağlık bol kazançlar diliyorum sadece ürün biraz geç geldi ama sıcaklığı ve lezzeti beklediğime değdi dedirtti,https://tgoyemek.com/restoranlar/22380
Hot Döner (Rumeli Hisarı),"Zile basmama secenegini sectigim halde zile basili, ozellikle gece saatlerinde daha dikkat edilirse cok hos olur",https://tgoyemek.com/restoranlar/22380
Hot Döner (Rumeli Hisarı),iyi deyil,https://tgoyemek.com/restoranlar/22380
Hot Döner (Rumeli Hisarı),"Günden güne tadı bozuldu son 3 siparişimde hep sorun var , dosu uzu dürümün üstüne sadece dökmüşsünüz yarıdan itibaren ne tadı var ne sosu hem soğuk hem tatsız bir daha sipariş vermem eskiden düzgündü",https://tgoyemek.com/restoranlar/22380
Hot Döner (Rumeli Hisarı),Tadı çok kötü ve ekşiydi,https://tgoyemek.com/restoranlar/22380
Hot Döner (Rumeli Hisarı),Su rica ettim krımadılar teşekkürler👍,https://tgoyemek.com/restoranlar/22380
Little Caesars Pizza (Maslak),"Çok geç gelen, yola çıktıktan sonra kapıda insanı ağaç eden soğuk bir siparişti. Lezzeti de çok iyi değil",https://tgoyemek.com/restoranlar/284697
Little Caesars Pizza (Maslak),Son 3 siparişte Ekstra sos ücretini aldıklarını gibi göndermeyi beceremiyolar :),https://tgoyemek.com/restoranlar/284697
Little Caesars Pizza (Maslak),yanlış ürün geldi içe eğim gelmedi ama yedim bir de ürünler değişmiş eski hali daha güzeldi dönerin sosu kötü olmuş puflar eskiden daha puftu,https://tgoyemek.com/restoranlar/284697
Little Caesars Pizza (Maslak),yanmış ürün ve yanlış sipariş teslimi,https://tgoyemek.com/restoranlar/284697
Little Caesars Pizza (Maslak),"1:30 saatde geldi 2km yolu , haliyle pizza pizzalıktan çıkmıştı, extra mantar talebim karşılanmadı",https://tgoyemek.com/restoranlar/284697
Little Caesars Pizza (Maslak),Gelen kurye arkadaş sanki zorla çalıştırılıyor gibi görünüyordu müşteriye karşı tavırlarını hiç beğenmedim bilginiz olsun.,https://tgoyemek.com/restoranlar/284697
Little Caesars Pizza (Maslak),Sıcak ve hızlı teslimat,https://tgoyemek.com/restoranlar/284697
